,Name,Type,City,Associated Entity,Associated Terms
0,301 East 66th St.,Miscellaneous,New York,,
1,Dan Abraham,Person,New York,Thompson Medical,
2,Frederick Adler,Person,West Palm Beach,"Venad Management, Inc.",
3,Cath Adler,Person,West Palm Beach,"Venad Management, Inc.",
4,Aero Leasing,Entity,"Zurich, Geneva",,
5,John Alessi,Person,Royal Palm Beach,,House maint. man
6,Ron Altbach,Person,New York,HKM,
7,Tim Ambrose,Person,Interlochen,,
8,Marjan Amogli,Person,London,,
9,Anderson & Shepard Ltd.,Entity,London,,
10,Eva Andersson,Person,New York,,
11,Jean Appelt,Person,,Citibank,
12,Ted Arison,Person,Miami,Carnival Cruise Lines,
13,Placido Arango,Person,Madrid,Grupo Sigla,
14,Bill Archer,Person,Westerville,,
15,Stanley Arkin,Person,New York,"Arkin, Schaffer & Kaplan",
16,Lorinda Ash,Person,New York,Gagosian Gallery,
17,Linda Aslanian,Person,New York,,
18,Andre Balazs,Person,New York,The Mercer,
19,Bandar Prince,Person,Aspen,,
20,Renee Preisler Barasch,Person,New York,RPB Design,
21,Elena Leonidovna Barmakova,Person,Malibu,,
22,Richard Barnett,Person,Bayside,,
23,Jonathan Barrett,Person,New York,,
24,Anthony Barrett,Person,New York,Ossa Properties,
25,Gwendolyn Beck,Person,Palm Beach,,
26,Nicky Barrett,Person,Greenwich,"Ivey, Barnum & O'Mara",
27,Doug Barton,Person,Gahanna,New Albany Company,
28,Gerald Barton,Person,New Albany,New Albany Company,
29,Jerry Beck,Person,Columbus,The Limited,
30,Harry I. Beller,Person,Monsey,,
31,Michaela Bercu,Person,,,
32,Stanley Bergman,Person,New York,,
33,Bob Berlin,Person,Scarsdale,Paine Webber,
34,Sophie Biddle,Person,New York,,
35,Abe Biederman,Person,Brooklyn,Lipper & Co.,
36,Nadia Bjorlin,Person,West Palm Beach,,
37,Conrad Black,Person,London,,
38,Leon Black,Person,New York,"Apollo Management, L.P.",
39,Jennifer Blair,Person,Alvaro,,
40,Dennis Block,Person,New York,"Wil, Gotshal & Manges",
41,Dominique Bluhdorn,Person,New York,Spade & Archer,
42,Bill Boardman,Person,,BankOne,
43,David Bonderman,Person,Washington,Texas Pacific Group,
44,Beth Anne Bovino,Person,Cherry Hill,,
45,Kelly Bovino,Person,Santa Monica,,
46,Randy Bowie,Person,New Albany,The Limited,
47,Bruce Brickman,Person,New York,Brickman & Associates,
48,Bristol Hotel,Entity,"Geneva, Paris",,
49,"Horace ""Woody"" Brock",Person,Menlo Park,Strategic Economic Decisions,
50,Fred Brooks,Person,Greenwich,Connecticut Economics Corp,
51,Andrea Brown,Person,Newton,Harvard Radcliffe Hillel,
52,Coco Brown,Person,New York,Brown Companies,
53,BSI Geneva,Entity,Geneva,,
54,"Michael S Buchholtz, M.D.",Person,Huntington,,
55,Tiffany Burns,Person,Burlington,WVNY TV,
56,David M. Byrne,Person,,Oatman Associates,Driver
57,George Carmody,Person,New York,Carmody Law Office,
58,Bill Carter,Person,Worthington,Price Waterhouse,
59,Francois Catroux,Person,,,
60,John A. Catsimatidis,Person,New York,Red Apple Group,
61,Jimmy Cayne,Person,New York,Bear Stearns,
62,Didier Cazaudumec,Person,New York,,
63,Hale Champion,Person,Cambridge,,
64,Chicago Car,Entity,,,
65,Bill Ciralosky,Person,Toledo,,
66,Nancy Ciralosky,Person,Toledo,,
67,Claridges,Entity,,,
68,Jay Cochran,Person,,,
69,Jeffrey Cohen,Person,New York,"Wasserstein, Parella & Co. Inc",
70,Steve Cohen,Person,New York,Gold & Wachtel,
71,Bob Crow,Person,New York,"Crow, Crow & Ver",
72,Diane Cummings,Person,New York,,
73,Paul Curran,Person,Spring Lake,"Kaye, Scholer",
74,Mike Cutlip,Person,Chicago,Hong Kong Bank ICA Division,
75,Ron Daniel,Person,New York,"Harvard University, McKinsey & Co Inc.",
76,Dayle Davison,Person,New York,Citibank,
77,Michel de Yougoslavia,Person,Palm Beach,Sotheby's Int. Realty,
78,George Delson,Person,New York,George Delson & Associates,
79,Michael Dennis,Person,New York,Azure Dev Inc.,
